"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"1","Kate & Leopold",-0.3,6.3,"Comedy",77368,4.8e+07,0.124588021366064,115,341,0.45208857832811,35196,118,2001,0,77852,"no","no"
"25","Le avventure di Ford Fairlane",0.4,6.5,"Action",16430,2e+07,0.0419352138612204,56,120,0.706337944897718,11947,104,1990,1,16914,"no","no"
"28","Air America",-0.2,5.8,"Action",26095,3.5e+07,0.0471574820300588,29,52,0.690921404116031,18364,113,1990,0,26579,"no","no"
"35","Ancora 48 ore",0.2,5.9,"Action",37140,3.8e+07,0.0574463393119671,33,81,0.72315543270253,27208,93,1990,1,37624,"no","no"
"36","Aracnofobia",0,6.4,"Comedy",61423,2.2e+07,0.0812561475901447,81,161,0.673316426252282,41683,109,1990,0,61907,"no","no"
"39","La ragazza dello slum",-0.5,5.1,"Crime",-290,2e+07,0.0569105691056911,4,3,0.634020618556701,123,96,1990,0,194,"no","no"
"43","Due nel mirino",-0.5,5.9,"Action",38762,2e+07,0.0522924901185771,35,68,0.644651684248076,25300,110,1990,0,39246,"no","no"
"48","Il falò delle vanità",0,5.6,"Comedy",20838,4.7e+07,0.0430638653123696,44,139,0.674139386549104,14374,125,1990,0,21322,"no","no"
"51","Re-Animator 2",-0.0999999999999996,6.2,"Comedy",12906,2e+06,0.0971393290800576,111,81,0.725765496639283,9718,96,1990,0,13390,"no","no"
"54","La bambola assassina 2",0,5.8,"Horror",43462,1.3e+07,0.206361097868283,78,214,0.66822919037,29366,84,1990,0,43946,"no","no"
"58","Club Fed",-0.5,3.5,"Comedy",-220,360000,0.0217391304347826,3,24,0.696969696969697,184,93,1990,0,264,"no","no"
"59","Benvenuti in paradiso",-0.5,6.6,"Drama",2031,17500000,0.051681195516812,9,41,0.638568588469185,1606,138,1990,0,2515,"no","no"
"66","Cry Baby",-0.5,6.3,"Comedy",53341,1.1e+07,0.12532535137949,50,168,0.428276823037622,23052,85,1990,0,53825,"no","no"
"68","666 il triangolo maledetto",0.0999999999999996,5,"Action",1624,1200000,0.0432060112711334,22,27,0.757590132827324,1597,87,1990,1,2108,"no","no"
"69","Darkman",0.2,6.4,"Action",56812,1.6e+07,0.0986923094790142,158,167,0.75141371125384,43053,96,1990,1,57296,"no","no"
"70","Giorni di tuono",0.3,6.1,"Action",77030,6e+07,0.0702076163824074,84,134,0.68227675000645,52886,107,1990,1,77514,"no","no"
"72","Colpi proibiti",-0.0999999999999996,5.7,"Action",16359,4e+06,0.07910924238885,39,78,0.762512616517248,12843,89,1990,0,16843,"no","no"
"76","Ore disperate",-0.199999999999999,5.4,"Action",6314,1.8e+07,0.051681195516812,39,59,0.70873786407767,4818,105,1990,0,6798,"no","no"
"77","Dick Tracy",0.2,6.2,"Action",56175,4.7e+07,0.0610964586587458,101,194,0.689263841578566,39053,105,1990,1,56659,"no","no"
"78","58 minuti per morire - Die Harder",0.100000000000001,7.2,"Action",329290,7e+07,0.18571150806063,163,365,0.717406466246581,236582,124,1990,1,329774,"no","no"
"82","Pronti a tutto",-0.100000000000001,5.8,"Action",1248,1e+07,0.033626901521217,6,11,0.721131639722864,1249,96,1990,0,1732,"no","no"
"85","Dream Trap",-1.2,5.7,"Comedy",-229,1150000,0.0915492957746479,2,3,0.556862745098039,142,90,1990,0,255,"no","no"
"88","Edward mani di forbice",-0.399999999999999,7.8,"Drama",436809,2e+07,0.234335970678192,102,664,0.546551168209873,239003,105,1990,0,437293,"no","no"
"101","Linea mortale",-0.2,6.6,"Drama",78238,2.6e+07,0.0663456180848523,55,177,0.638347602957242,50252,115,1990,0,78722,"no","no"
"106","Il boss e la matricola",-0.0999999999999996,6.4,"Comedy",17923,1.2e+07,0.0621536979041195,37,62,0.676536100396588,12453,102,1990,0,18407,"no","no"
"111","Ghost - Fantasma",-0.2,7,"Drama",191965,2.2e+07,0.130932030175778,97,305,0.559296229130835,107636,127,1990,0,192449,"no","no"
"113","Il padrino - Parte III",0,7.6,"Crime",349968,5.4e+07,0.231773816045018,114,660,0.687603437845982,240972,162,1990,0,350452,"no","no"
"116","Gremlins 2 - La nuova stirpe",0,6.4,"Comedy",90204,5e+07,0.115871675812579,112,181,0.679185779816514,61594,106,1990,0,90688,"no","no"
"120","Duro da uccidere",0.0999999999999996,5.8,"Action",26411,1e+07,0.0768383641187365,51,102,0.742777467930842,19977,96,1990,1,26895,"no","no"
"124","Mamma, ho perso l'aereo",-0.2,7.5,"Comedy",451082,1.8e+07,0.279788245998594,135,422,0.588992528224003,265969,103,1990,0,451566,"no","no"
"126","The Hot Spot - Il posto caldo",0.2,6.4,"Crime",9782,1.3e+07,0.0538534215143744,56,80,0.72170270796805,7409,130,1990,1,10266,"no","no"
"127","House party, Festa in casa",-0.3,6.4,"Comedy",12351,2500000,0.0687343934814036,19,33,0.592832099727308,7609,100,1990,0,12835,"no","no"
"128","Caccia a Ottobre Rosso",0.0999999999999996,7.6,"Action",174549,3e+07,0.106733001120003,113,295,0.703947255660361,123214,135,1990,1,175033,"no","no"
"135","Allucinazione perversa",0.0999999999999996,7.5,"Drama",96254,2.5e+07,0.167768841227286,134,405,0.694039570799479,67140,113,1990,1,96738,"no","no"
"137","Joe contro il vulcano",0,5.8,"Comedy",33469,2.5e+07,0.0421406287497,47,227,0.613642388006951,20835,102,1990,0,33953,"no","no"
"139","Un poliziotto alle elementari",-0.2,6.1,"Action",132959,1.5e+07,0.129202896154991,56,136,0.679998201479283,90741,111,1990,0,133443,"no","no"
"144","Non aprite quella porta - Parte 3",-0.100000000000001,5.1,"Horror",13256,2e+06,0.168919616138685,87,146,0.705312954876274,9691,85,1990,0,13740,"no","no"
"146","Lionheart - Scommessa vincente",0.100000000000001,6.2,"Action",31690,6e+06,0.0806399351964358,48,96,0.767389817865357,24690,108,1990,1,32174,"no","no"
"150","Poliziotti a due zampe",-0.3,4.9,"Action",3889,1.5e+07,0.0215736040609137,17,29,0.720786645323577,3152,94,1990,0,4373,"no","no"
"155","Maniac cop - Il poliziotto maniaco",0.100000000000001,5.9,"Crime",5458,4e+06,0.0798163131423573,70,56,0.769606193200942,4573,90,1990,1,5942,"no","no"
"156","Programmato per uccidere",0.3,6,"Action",18842,1.2e+07,0.0705761316872428,48,108,0.754424091896926,14580,93,1990,1,19326,"no","no"
"158","I cari vicini di casa",0,5.5,"Comedy",1660,5e+06,0.0296515937731653,17,35,0.62919776119403,1349,90,1990,0,2144,"no","no"
"161","Sirene",-0.6,6.4,"Comedy",27571,2e+07,0.0494448299791811,32,72,0.410907146676172,11528,110,1990,0,28055,"no","no"
"165","Crocevia della morte",0.3,7.8,"Crime",123276,1.4e+07,0.153955110045762,152,346,0.741596638655462,91780,115,1990,1,123760,"no","no"
"169","Misery non deve morire",-0.100000000000001,7.8,"Drama",178811,2e+07,0.200988496697721,168,393,0.637580523717895,114315,107,1990,0,179295,"no","no"
"170","Mo' Better Blues",0,6.6,"Drama",10416,1e+07,0.0787423103212577,31,37,0.671100917431193,7315,129,1990,0,10900,"no","no"
"173","Mr. Destiny",0.100000000000001,6.4,"Comedy",10901,2e+07,0.03655997918293,12,40,0.675098814229249,7686,110,1990,1,11385,"no","no"
"179","La notte dei morti viventi",0.100000000000001,6.9,"Horror",37606,4200000,0.121974165068567,116,227,0.725571016014702,27637,92,1990,1,38090,"no","no"
"180","Cabal",-0.3,6.5,"Action",18685,1.1e+07,0.075764288879043,138,141,0.706453127445354,13542,102,1990,0,19169,"no","no"
"183","Uno sconosciuto alla porta",-0.0999999999999996,6.4,"Thriller",17055,1.8e+07,0.0400736583654858,33,109,0.650208107645818,11404,102,1990,0,17539,"no","no"
"187","Cartoline dall'inferno",-0.300000000000001,6.6,"Comedy",14607,2.2e+07,0.0690822467402207,50,57,0.528526936584719,7976,101,1990,0,15091,"no","no"
"188","Predator 2",0.2,6.3,"Action",143121,3.5e+07,0.140958175479702,160,380,0.737070436266147,105847,108,1990,1,143605,"no","no"
"189","Pretty Woman",-0.600000000000001,6.8,"Comedy",281204,1.4e+07,0.161270250962137,82,334,0.462138962256113,130179,119,1990,0,281688,"no","no"
"190","Piccola peste",-0.3,5.4,"Comedy",27425,1e+07,0.120630419370671,15,110,0.657028198788921,18337,81,1990,0,27909,"no","no"
"191","Scappiamo col malloppo",0,6.8,"Comedy",18326,1.5e+07,0.0552297528023161,50,96,0.716161616161616,13471,89,1990,0,18810,"no","no"
"195","RoboCop 2",0.2,5.8,"Action",79425,2.5e+07,0.0940172356645674,110,253,0.755108936415172,60340,117,1990,1,79909,"no","no"
"198","Rocky V",-0.4,5.3,"Drama",123849,4.2e+07,0.207045885308767,79,304,0.729878632382392,90748,104,1990,0,124333,"no","no"
"199","La recluta",0.100000000000001,5.9,"Action",24457,1e+07,0.0621390374331551,37,88,0.749769455915962,18700,120,1990,1,24941,"no","no"
"204","Come fare carriera... molto disonestamente",-0.0999999999999996,6.7,"Comedy",3635,1.2e+07,0.0483759502418798,19,52,0.702597717892692,2894,88,1990,0,4119,"no","no"
"213","Soultaker",-0.2,2.4,"Fantasy",3023,242000,0.0950207468879668,10,97,0.687197034502424,2410,94,1990,0,3507,"no","no"
"222","I delitti del gatto nero",-0.399999999999999,6.2,"Comedy",14404,3500000,0.0877386934673367,71,76,0.668323481998925,9950,93,1990,0,14888,"no","no"
"226","Tremors",0.0999999999999996,7.1,"Comedy",116861,1.1e+07,0.140638248196709,166,309,0.693502066555882,81379,96,1990,1,117345,"no","no"
"229","Il grande inganno",0.100000000000001,6.2,"Crime",10358,1.9e+07,0.0669844132423032,35,62,0.716011805939863,7763,137,1990,1,10842,"no","no"
"238","Cuore selvaggio",-0.0999999999999996,7.2,"Comedy",80672,9500000,0.1484445591842,126,234,0.668206910148356,54229,125,1990,0,81156,"no","no"
"240","Young Guns II - La leggenda di Billy the Kid",-0.2,6.5,"Action",29974,2e+07,0.0415370627362779,28,85,0.686092323855801,20897,104,1990,0,30458,"no","no"
"244","La famiglia Addams",-0.5,6.8,"Comedy",126880,3e+07,0.153270179817346,75,157,0.553657234383342,70516,99,1991,0,127364,"no","no"
"246","Alligator II: The Mutation",0,3.8,"Horror",1467,3e+06,0.0726096333572969,26,35,0.712967708867248,1391,92,1991,0,1951,"no","no"
"250","Non dirmelo... non ci credo",-0.199999999999999,5.4,"Comedy",3050,1.7e+07,0.057707203718048,7,24,0.730616864742501,2582,98,1991,0,3534,"no","no"
"254","Giocando nei campi del Signore",-0.100000000000001,6.8,"Drama",2557,3.6e+07,0.0240128068303095,11,52,0.616244656363038,1874,189,1991,0,3041,"no","no"
"255","Fuoco assassino",-0.2,6.7,"Action",69563,4e+07,0.0532407407407407,74,161,0.678401644610048,47520,137,1991,0,70047,"no","no"
"260","Billy Bathgate - A scuola di gangster",0.100000000000001,5.9,"Crime",10609,4.8e+07,0.0346269436822161,32,42,0.689894528080772,7653,106,1991,1,11093,"no","no"
"268","No Control - Fuori controllo",0.0999999999999996,5.6,"Horror",3417,1e+07,0.0419426048565121,60,44,0.696744424506537,2718,88,1991,1,3901,"no","no"
"273","Boyz n the Hood - Strade violente",0,7.7,"Crime",121225,6500000,0.205537165212158,88,236,0.709873550846692,86398,112,1991,0,121709,"no","no"
"279","Cape Fear - Il promontorio della paura",0.0999999999999996,7.3,"Crime",168240,3.5e+07,0.168984700973574,132,329,0.690346364476897,116478,128,1991,1,168724,"no","no"
"283","Scappo dalla città - La vita, l'amore e le vacche",-0.2,6.7,"Comedy",46825,2.7e+07,0.0550303956204844,54,96,0.664123105540172,31419,113,1991,0,47309,"no","no"
"284","La città della speranza",0.399999999999999,7.3,"Crime",1726,3e+06,0.046624913013222,14,18,0.650226244343891,1437,129,1991,1,2210,"no","no"
"288","Closet Land",-1.1,6.6,"Drama",2123,4e+06,0.0678260869565217,20,56,0.441120061373226,1150,89,1991,0,2607,"no","no"
"291","Cool as Ice",-1,2.8,"Comedy",8319,6e+06,0.088582995951417,54,168,0.701465409519482,6175,91,1991,0,8803,"no","no"
"294","La tenera canaglia",-0.6,5.7,"Comedy",19541,2.5e+07,0.0692485995750435,17,45,0.51705368289638,10354,101,1991,0,20025,"no","no"
"316","Double Impact - La vendetta finale",0,5.6,"Action",36778,1.5e+07,0.0905138898706439,69,95,0.759325854758199,28294,110,1991,0,37262,"no","no"
"317","Dutch è molto meglio di papà",-0.3,6.5,"Comedy",10827,1.7e+07,0.0380560555412702,14,52,0.687649191052957,7778,107,1991,0,11311,"no","no"
"331","La leggenda del re pescatore",-0.0999999999999996,7.5,"Comedy",77280,2.4e+07,0.120136111965549,96,199,0.668895632940692,52016,137,1991,0,77764,"no","no"
"335","Nightmare 6 - La fine",-0.5,4.8,"Fantasy",40012,1.1e+07,0.16704637319027,93,287,0.67201698933228,27214,89,1991,0,40496,"no","no"
"336","Pomodori verdi fritti alla fermata del treno",-0.699999999999999,7.4,"Drama",64997,1.1e+07,0.0848787685703746,52,200,0.455384004520395,29819,130,1991,0,65481,"no","no"
"339","The Giant of Thunder Mountain",-0.7,5.3,"Drama",-265,3250000,0.184210526315789,2,5,0.694063926940639,152,88,1990,0,219,"no","no"
"348","Harley Davidson e Marlboro Man",0.100000000000001,6.2,"Action",17669,2.3e+07,0.059154512475013,38,95,0.744064341982042,13507,98,1991,1,18153,"no","no"
"353","Hot Shots!",0.3,6.8,"Action",96952,2.6e+07,0.127596147085706,48,108,0.729863705406626,71115,84,1991,1,97436,"no","no"
"356","House Party 2",-0.800000000000001,5.1,"Comedy",5433,5e+06,0.0578667500781983,12,14,0.540307588304884,3197,94,1991,0,5917,"no","no"
"357","Hudson Hawk - Il mago del furto",-0.3,5.8,"Action",50864,6.5e+07,0.0512053975480651,77,277,0.710076341824414,36461,100,1991,0,51348,"no","no"
"362","Jungle Fever",0,6.5,"Drama",16225,1.4e+07,0.0721411416959172,44,60,0.647914297683883,10826,132,1991,0,16709,"no","no"
"372","L'ultimo boy scout - Missione: sopravvivere",0.2,7,"Action",90745,2.9e+07,0.0801609090775623,69,173,0.74661565949424,68113,105,1991,1,91229,"no","no"
"378","Vacanza con il morto",0.3,5.6,"Comedy",-211,7e+05,0.0382513661202186,4,10,0.67032967032967,183,100,1991,1,273,"no","no"
"379","Che vita da cani!",-0.6,5.9,"Comedy",8846,1.3e+07,0.0608353510895884,19,55,0.708252947481243,6608,92,1991,0,9330,"no","no"
"380","Lo spacciatore",0,6.9,"Crime",5226,5e+06,0.117942283563363,23,46,0.697898423817863,3985,103,1992,0,5710,"no","no"
"382","Il mio piccolo genio",-0.2,6.6,"Drama",13132,1e+07,0.0457542194092827,28,42,0.556991774383079,7584,99,1991,0,13616,"no","no"
"398","Papà, ho trovato un amico",-0.6,6.7,"Comedy",70079,1.7e+07,0.122430265921259,40,139,0.479103779601207,33807,102,1991,0,70563,"no","no"
"400","Belli e dannati",-0.399999999999999,6.9,"Drama",48750,2500000,0.162991266375546,69,173,0.558150871349068,27480,104,1991,0,49234,"no","no"
"402","Una pallottola spuntata 2½ - L'odore della paura",0.4,6.9,"Comedy",102786,2.3e+07,0.158998198770926,54,103,0.731131984119299,75504,85,1991,1,103270,"no","no"
"405","New Jack City",-0.300000000000001,6.6,"Action",30296,8e+06,0.0865009525537512,37,89,0.716244314489929,22046,97,1991,0,30780,"no","no"
"408","Nient'altro che guai",-0.4,5.1,"Comedy",21743,4e+07,0.0446953192051231,29,257,0.681468484275881,15147,94,1991,0,22227,"no","no"
"413","Ancora una volta",-0.399999999999999,6.4,"Comedy",3461,1.6e+07,0.0225631768953069,17,46,0.561723700887199,2216,115,1991,0,3945,"no","no"
"417","Oscar - Un fidanzato per due figlie",-0.899999999999999,6.4,"Comedy",28787,3.5e+07,0.0911855643975873,24,134,0.674011820573264,19729,109,1991,0,29271,"no","no"
"419","Giustizia a tutti i costi",0.3,6.1,"Action",20535,1.4e+07,0.0760801502817783,70,133,0.759788762548171,15970,91,1991,1,21019,"no","no"
"425","Poison",0.2,6.5,"Drama",3384,250000,0.140365448504983,36,27,0.622543950361944,2408,85,1991,1,3868,"no","no"
"429","Piccola peste torna a far danni",-0.600000000000001,4.8,"Comedy",19920,1.5e+07,0.108857896720694,10,89,0.650117623995295,13265,91,1991,0,20404,"no","no"
"433","Rosa Scompiglio e i suoi amanti",-0.100000000000001,6.6,"Drama",4086,7500000,0.0332380271622588,18,34,0.612253829321663,2798,112,1991,0,4570,"no","no"
"440","Le avventure di Rocketeer",0,6.5,"Action",51534,3.5e+07,0.0637541475746563,105,161,0.730016532738667,37974,108,1991,0,52018,"no","no"
"446","Storie di amori e infedeltà",-0.3,5.4,"Comedy",4093,3e+06,0.0358156028368794,18,29,0.616124098754643,2820,89,1991,0,4577,"no","no"
"454","Resa dei conti a Little Tokyo",-0.100000000000001,6.1,"Action",15668,8e+06,0.0780792980175496,66,125,0.762010896483408,12308,79,1991,0,16152,"no","no"
"455","Il silenzio degli innocenti",0,8.6,"Crime",1233650,1.9e+07,0.2554065166988,224,1326,0.589221267706748,727178,118,1991,0,1234134,"no","no"
"456","Slacker",0.0999999999999996,7.1,"Comedy",18920,23000,0.221033210332103,69,88,0.698309626881055,13550,97,1990,1,19404,"no","no"
"457","A letto con il nemico",-0.7,6,"Drama",48327,1.9e+07,0.0728611850865513,51,128,0.492348036303292,24032,99,1991,0,48811,"no","no"
"460","Rotta verso l'ignoto",0,7.2,"Action",68514,3e+07,0.0753184150927715,83,213,0.697541957737905,48129,110,1991,0,68998,"no","no"
"479","Scuola di eroi",-0.5,6.5,"Action",18779,1e+07,0.055185969156335,39,61,0.686705082282095,13228,111,1991,0,19263,"no","no"
"491","Tutte le manie di Bob",-0.0999999999999996,7,"Comedy",60834,3.5e+07,0.0914018598637426,45,198,0.655892233928047,40218,99,1991,0,61318,"no","no"
"496","3 ragazzi ninja",-0.8,5.2,"Action",19338,6500000,0.133323703596707,12,66,0.69851679951569,13846,84,1992,0,19822,"no","no"
"498","Alien³",-0.0999999999999996,6.5,"Action",271252,5e+07,0.147213208627601,263,909,0.694070715694645,188604,114,1992,0,271736,"no","no"
"504","Il cattivo tenente",0.0999999999999996,7.1,"Crime",37338,1e+06,0.120118406505225,83,189,0.741341018454868,28039,96,1992,1,37822,"no","no"
"516","Guardia del corpo",-0.399999999999999,6.2,"Action",116089,2.5e+07,0.101352156302121,60,162,0.576051058135246,67152,129,1992,0,116573,"no","no"
"518","Il principe delle donne",-0.3,5.5,"Comedy",24879,4.2e+07,0.0571514242878561,24,57,0.657453771241572,16675,117,1992,0,25363,"no","no"
"521","Dracula di Bram Stoker",-0.199999999999999,7.4,"Horror",186732,4e+07,0.13577728393347,192,749,0.615310657208786,115196,128,1992,0,187216,"no","no"
"524","Buffy - L'ammazzavampiri",-0.5,5.5,"Action",38482,7e+06,0.0656113787565955,77,251,0.55933377816558,21795,86,1992,0,38966,"no","no"
"531","Class Act",-0.2,6.1,"Comedy",6324,7500000,0.0473627556512379,20,16,0.545828437132785,3716,98,1992,0,6808,"no","no"
"541","La morte ti fa bella",-0.5,6.4,"Comedy",100236,5.5e+07,0.0975786113609509,85,217,0.562976568705322,56703,104,1992,0,100720,"no","no"
"542","Massima copertura",-0.0999999999999996,6.9,"Action",8176,8e+06,0.0700882117080994,29,65,0.719976905311778,6235,107,1992,0,8660,"no","no"
"548","Il distinto gentiluomo",0.100000000000001,5.9,"Comedy",14478,5e+07,0.0479059093516925,16,46,0.698970725838792,10458,112,1992,1,14962,"no","no"
"554","Il mio amico scongelato",-0.5,5.7,"Comedy",36236,7e+06,0.081828345373237,31,76,0.633333333333333,23256,88,1992,0,36720,"no","no"
"558","Sulla strada del mito",-0.899999999999999,5.4,"Drama",44,3e+06,0.0267857142857143,10,16,0.636363636363636,336,100,1992,0,528,"no","no"
"560","Codice d'onore",0.100000000000001,7.7,"Drama",228960,4.1e+07,0.156788558426784,88,391,0.67042502745768,153825,138,1992,1,229444,"no","no"
"561","Analisi finale",-0.199999999999999,5.9,"Drama",12515,3.2e+07,0.0358816276202219,31,48,0.623894145703516,8110,124,1992,0,12999,"no","no"
"566","Freejack - In fuga nel futuro",-0.199999999999999,5.4,"Action",14192,3e+07,0.0206929740134745,45,71,0.707958571817934,10390,110,1992,0,14676,"no","no"
"569","I gladiatori della strada",0,6.5,"Action",7551,2e+07,0.0538803756796836,13,43,0.755320472930927,6069,101,1992,0,8035,"no","no"
"570","Americani",0.399999999999999,7.8,"Crime",93388,12500000,0.161048415390013,124,401,0.728737003579342,68408,100,1992,1,93872,"no","no"
"572","Guncrazy",-0.2,5.5,"Crime",1634,8e+05,0.0409309791332263,16,24,0.588290840415486,1246,97,1992,0,2118,"no","no"
"573","La mano sulla culla",-0.300000000000001,6.6,"Drama",36733,11700000,0.0628500596823065,46,132,0.585270172233119,21782,110,1992,0,37217,"no","no"
"576","Eroe per caso",-0.0999999999999996,6.5,"Comedy",20379,4.2e+07,0.043860280878646,29,73,0.665532282030389,13885,119,1992,0,20863,"no","no"
"582","Mariti e mogli",0,7.5,"Comedy",26380,2e+07,0.126890318094907,58,89,0.642458308516974,17259,108,1992,0,26864,"no","no"
"586","Amore all'ultimo morso",0.100000000000001,6.2,"Action",8582,2e+07,0.0343238518989353,52,82,0.694131921464814,6293,112,1992,1,9066,"no","no"
"593","Poliziotto in blue jeans",-0.199999999999999,5.9,"Action",9213,1e+07,0.0269503546099291,27,49,0.654326080230999,6345,102,1992,0,9697,"no","no"
"596","L'ultimo dei Mohicani",-0.0999999999999996,7.7,"Action",145247,4e+07,0.155584727479953,99,444,0.674310887868744,98268,112,1992,0,145731,"no","no"
"598","Ragazze vincenti",-0.600000000000001,7.1,"Comedy",91004,4e+07,0.0805535634679123,64,223,0.563931881776845,51593,128,1992,0,91488,"no","no"
"602","Arma letale 3",-0.0999999999999996,6.7,"Action",154096,3.5e+07,0.124126387763642,87,157,0.726620520119032,112321,118,1992,0,154580,"no","no"
"606","The Living End",-0.0999999999999996,6.4,"Comedy",2166,22769,0.122685185185185,16,18,0.652075471698113,1728,81,1992,0,2650,"no","no"
"607","L'olio di Lorenzo",-0.3,7.2,"Drama",19702,3e+07,0.116669464495551,32,79,0.590211037352621,11914,129,1992,0,20186,"no","no"
"617","Stoffa da campioni",-0.2,6.5,"Comedy",56743,1e+07,0.137393202203827,32,60,0.656525765809845,37571,104,1992,0,57227,"no","no"
"621","Pioggia di soldi",0,5.6,"Action",6465,1.5e+07,0.0513734535542042,10,26,0.686285796517485,4769,89,1992,0,6949,"no","no"
"624","Mio cugino Vincenzo",0,7.6,"Comedy",103542,1.1e+07,0.139379468196332,53,258,0.68038759540884,70778,120,1992,0,104026,"no","no"
"629","Gli strilloni",-1.1,6.5,"Drama",18029,1.5e+07,0.136480107889413,33,303,0.400529357748609,7415,121,1992,0,18513,"no","no"
"632","La notte e la città",0.2,5.8,"Comedy",3970,2e+07,0.047900466562986,17,37,0.721823080377189,3215,105,1992,1,4454,"no","no"
"638","Le regole del gioco",0.5,5,"Comedy",160,3e+06,0.0635696821515892,5,13,0.635093167701863,409,86,1992,1,644,"no","no"
"642","Passenger 57 - Terrore ad alta quota",0,5.9,"Action",43714,1.5e+07,0.0775366748166259,45,123,0.740304991176071,32720,84,1992,0,44198,"no","no"
"646","Giochi di potere",0,6.9,"Action",100452,4.5e+07,0.0877965580393966,62,154,0.708656970753745,71529,117,1992,0,100936,"no","no"
"647","La casa nera",-0.199999999999999,6.4,"Comedy",29997,6e+06,0.0982243864049973,150,166,0.667005675666809,20331,102,1991,0,30481,"no","no"
"648","Cimitero vivente 2",-0.4,4.8,"Fantasy",18469,8e+06,0.101857887874837,51,130,0.64749643855854,12272,100,1992,0,18953,"no","no"
"650","I protagonisti",0.2,7.5,"Comedy",52965,8e+06,0.123962210134555,89,197,0.653520178113716,34930,124,1992,1,53449,"no","no"
"651","La mia peggiore amica",-0.5,5.3,"Drama",16444,3e+06,0.0755349038253728,34,60,0.546668241965974,9254,90,1992,0,16928,"no","no"
"657","Occhio indiscreto",-0.0999999999999996,6.5,"Crime",2765,1.5e+07,0.0348525469168901,14,28,0.688827331486611,2238,99,1992,0,3249,"no","no"
"659","Il grande volo",-0.5,6.9,"Drama",11734,3.5e+07,0.0542700883466554,14,78,0.583647078081519,7131,114,1992,0,12218,"no","no"
"663","Doppia personalità",0.0999999999999996,6.1,"Crime",13379,1.2e+07,0.066900681395829,71,103,0.698694366298781,9686,92,1992,1,13863,"no","no"
"665","Red Rock West",0.0999999999999996,7,"Crime",19312,8e+06,0.0855385495637248,56,92,0.706304303899778,13982,98,1993,1,19796,"no","no"
"666","Le iene",0.100000000000001,8.3,"Crime",896067,1200000,0.25666501104698,205,1163,0.651240141386268,583870,99,1992,1,896551,"no","no"
"668","In mezzo scorre il fiume",-0.0999999999999996,7.2,"Drama",52007,1.2e+07,0.104410019364108,55,165,0.60997123316378,32018,123,1992,0,52491,"no","no"
"670","Scent of a Woman - Profumo di donna",0,8,"Drama",253373,3.1e+07,0.21303180503924,62,414,0.648506836526076,164628,156,1992,0,253857,"no","no"
"671","Scuola d'onore",-0.3,6.8,"Drama",21392,1.8e+07,0.095292331055429,23,95,0.602029621503017,13170,106,1992,0,21876,"no","no"
"673","Ombre e nebbia",-0.0999999999999996,6.7,"Comedy",15356,1.4e+07,0.104132078952223,38,83,0.684469696969697,10842,85,1991,0,15840,"no","no"
"677","Inserzione pericolosa",-0.3,6.3,"Drama",31048,1.6e+07,0.0580958090359148,70,108,0.581916782950653,18349,107,1992,0,31532,"no","no"
"679","Sister Act: Una svitata in abito da suora",-0.7,6.2,"Comedy",85069,3.1e+07,0.132409912347149,32,136,0.540074573656096,46205,100,1992,0,85553,"no","no"
"680","I sonnambuli",-0.3,5.3,"Fantasy",19340,1.5e+07,0.0685380116959064,85,136,0.646943099273608,12825,91,1992,0,19824,"no","no"
"681","I signori della truffa",-0.100000000000001,7.1,"Comedy",50797,3.5e+07,0.0456917511712032,68,128,0.657670482244886,33726,126,1992,0,51281,"no","no"
"683","South Central - Zona a rischio",-0.600000000000001,6.8,"Crime",4459,4e+06,0.129492129492129,9,18,0.68116528424034,3367,98,1992,0,4943,"no","no"
"685","Fermati, o mamma spara",-0.6,4.2,"Action",37292,4.5e+07,0.0970628643570606,25,92,0.712912960609911,26931,87,1992,0,37776,"no","no"
"688","Una estranea fra noi",-0.7,5.5,"Crime",2938,1.8e+07,0.03171552138395,26,39,0.60812390414962,2081,110,1992,0,3422,"no","no"
"695","Cuore di tuono",-0.5,6.7,"Crime",13220,1.5e+07,0.0391757246376812,20,95,0.644483362521891,8832,119,1992,0,13704,"no","no"
"707","Gli spietati",0.399999999999999,8.2,"Drama",366881,14400000,0.180873421829364,128,593,0.704596246240115,258844,130,1992,1,367365,"no","no"
"708","I nuovi eroi",0,6,"Action",80872,2.3e+07,0.0967496069993807,105,157,0.774091646590295,62977,102,1992,0,81356,"no","no"
"710","Vita di cristallo",-0.2,6.6,"Drama",2097,2700000,0.0223123732251521,16,24,0.573033707865168,1479,106,1992,0,2581,"no","no"
"711","Fusi di testa",0,7,"Comedy",140869,2e+07,0.164402260851018,76,200,0.663374671920653,93770,94,1992,0,141353,"no","no"
"725","La famiglia Addams 2",-0.600000000000001,6.6,"Comedy",76542,4.7e+07,0.135149786692436,64,144,0.550814010853478,42427,94,1993,0,77026,"no","no"
"726","L'età dell'innocenza",0,7.2,"Drama",50206,3.4e+07,0.147768351161933,73,186,0.534819491023871,27110,139,1993,0,50690,"no","no"
"735","L'armata delle tenebre",0.0999999999999996,7.5,"Comedy",159361,1.1e+07,0.150336249268059,250,658,0.705145609809503,112714,81,1992,1,159845,"no","no"
