"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"10441","Angry Games - La ragazza con l'uccello di fuoco",-0.4,3.1,"Comedy",18204,4500000,0.349587136027814,42,72,0.615635702054795,11505,83,2013,0,18688,"no","no"
"10447","Corpi da reato",-0.699999999999999,6.4,"Action",159640,4.3e+07,0.236637174006694,283,437,0.565380580050461,90531,117,2013,0,160124,"no","no"
"10467","30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo",-0.2,2.5,"Comedy",3007,3e+06,0.245647236941711,28,19,0.756803208249785,2642,80,2013,0,3491,"no","no"
"10471","Wendy",0.5,5.7,"Drama",921,6e+06,0.220726783310902,52,41,0.528825622775801,743,111,2020,1,1405,"no","no"
"10490","Benvenuti a ieri",0,6.4,"Drama",74453,1.2e+07,0.277617803543164,185,237,0.699774477227538,52439,106,2015,0,74937,"no","no"
"10491","Il duello",0.0999999999999996,5.8,"Drama",9133,1e+07,0.115521327014218,31,69,0.702090048871789,6752,110,2016,1,9617,"no","no"
"10509","Non è romantico?",-0.399999999999999,5.7,"Comedy",59708,3.1e+07,0.242745835572273,126,415,0.371012759170654,22332,89,2019,0,60192,"no","no"
"10525","Hateship Loveship",0,6.1,"Drama",5967,5e+06,0.124768946395564,55,32,0.50317780189118,3246,104,2013,0,6451,"no","no"
"10528","The Single Moms Club",-1.5,4.5,"Comedy",5285,8e+06,0.201496259351621,20,33,0.347547235222742,2005,111,2014,0,5769,"no","no"
"10529","Mai così vicini",-0.2,5.7,"Comedy",12055,1.8e+07,0.117310443490701,115,63,0.501714650291092,6291,94,2014,0,12539,"no","no"
"10532","Paranormal Activity: Dimensione fantasma",-0.3,4.5,"Horror",23855,1e+07,0.294482665587481,139,130,0.609145815358067,14826,88,2015,0,24339,"no","no"
"10533","Il segnato",0,5,"Horror",38713,5e+06,0.309913912801999,229,182,0.64308492996913,25207,84,2014,0,39197,"no","no"
"10535","The Last Five Years",-0.3,5.7,"Comedy",8821,3500000,0.304639463387367,82,51,0.384524449220849,3578,94,2014,0,9305,"no","no"
"10539","The Ridiculous 6",-0.4,4.8,"Action",42405,6e+07,0.244284917758573,63,236,0.669075986849775,28696,119,2015,0,42889,"no","no"
"10552","Star Wars - Il risveglio della Forza",-0.199999999999999,7.9,"Action",844618,2.45e+08,0.298968501977268,909,4822,0.599044849024141,506254,138,2015,0,845102,"no","no"
"10556","Stretch - Guida o muori",0.2,6.5,"Comedy",28017,5e+06,0.189662208116073,52,63,0.773832497105365,22055,94,2014,1,28501,"no","no"
"10557","Verso la fine del mondo",-0.6,4.2,"Drama",1414,1300000,0.0786963434022258,13,24,0.662802950474183,1258,98,2014,0,1898,"no","no"
"10562","The Den",-0.0999999999999996,6,"Horror",12462,5e+05,0.225822979377482,70,97,0.603043411092229,7807,76,2013,0,12946,"no","no"
"10581","A Talking Cat!?!",-1,2.2,"Comedy",648,1e+06,0.333789329685363,17,42,0.645759717314488,731,85,2013,0,1132,"no","no"
"10608","Star Wars - Gli ultimi Jedi",-0.6,6.9,"Action",547313,3.17e+08,0.280161631710602,717,6718,0.607173825340409,332608,152,2017,0,547797,"no","no"
